4110,Gopal Ramalingam Memorial Engineering College,4110,principal,Y
4111,Indira Gandhi College of Engineering and Technology for women,4111,principal,Y
4112,Lord Ayyappa Institute of Engineering and Technology,4112,principal,Y
4113,Lord Venkateshwaraa Engineering College,4113,principal,Y
4114,New Prince Shri Bhavani College of Engineering and Technology,4114,principal,Y
4115,Peri Institute of Technology,4115,principal,Y
4116,Prince Dr.K.Vasudevan College of Engineering and Technology,4116,principal,Y
4117,Prince Shri Venkateshwara Padmavathy Engineering College,4117,principal,Y
4118,Rrase College of Engineering,4118,principal,Y
4119,Shri Andal Alagar College of Engineering,4119,principal,Y
4120,Sri Krishna Engineering College,4120,principal,Y
4121,Sri Krishna Institute of Technology,4121,principal,Y
4122,Sri Lakshmi Ammal Engineering College,4122,principal,Y
4123,Sri Ramanujar Engineering College,4123,principal,Y
4124,Sri Sai Ram Institute of Technology,4124,principal,Y
4125,Sri Sai Ram Engineering College,4125,principal,Y
4126,Sri Venkateswaraa College of Technology,4126,principal,Y
4127,Tagore Engineering College,4127,principal,Y
4128,Valliammai Engineering College,4128,principal,Y
4129,VI Institute of Technology,4129,principal,Y
4201,AKT Memorial College of Engineering and Technology,4201,principal,Y
4202,A.C.T. College of Engineering and Technology,4202,principal,Y
4203,A.R. Engineering College,4203,principal,Y
4204,Adhiparasakthi Engineering College,4204,principal,Y
4205,Aksheyaa College of Engineering,4205,principal,Y
4206,Annai Teresa College of Engineering,4206,principal,Y
4207,CK College of Engineering and Technology,4207,principal,Y
4208,Chendu College of Engineering and Technology,4208,principal,Y
4209,Dr.Paul's Engineering College,4209,principal,Y
4210,E.S.College of Engineering  and Technology,4210,principal,Y
4211,IFET College of Engineering,4211,principal,Y
4212,Karpaga Vinayaga College of Engineering and Technology,4212,principal,Y
4213,Krishnasamy College of Engineering and Technology,4213,principal,Y
4214,KRS College of Engineering,4214,principal,Y
4216,Mailam Engineering College,4216,principal,Y
4217,S.R.I. College of Engineering and Technology,4217,principal,Y
4218,Saraswathy College of Engineering and Technology,4218,principal,Y
4219,Sri Aravindar Engineering College,4219,principal,Y
4220,Sri Rangapoopathi College of Engineering,4220,principal,Y
4221,St Anne's College of Engineering and Technology,4221,principal,Y
4222,Surya Group of Institutions ,4222,principal,Y
4223,Thiruvalluvar College of Engineering and Technology,4223,principal,Y
4224,University College of  Engineering - Tindivanam,4224,principal,Y
4225,University College of Engineering - Villupuram,4225,principal,Y
4226,Anna University of Technology Tiruchirapalli - Panruti Campus,4226,principal,Y
4227,V.R.S.College of Engineering and Technology,4227,principal,Y
5101,Adhiparasakthi College of Engineering,5101,principal,Y
5102,Annamalaiar College of Engineering,5102,principal,Y
5103,Arulmigu MeenakshiAmman College of Engineering,5103,principal,Y
5104,Arunai Engineering College,5104,principal,Y
5105,Bharathidasan Engineering College,5105,principal,Y
5106,C.Abdul Hakeem College of Engineering and  Technology,5106,principal,Y
5107,G.G.R. College of Engineering,5107,principal,Y
5108,Ganadipathy Tulsi's Jain Engineering College,5108,principal,Y
5109,Global Institute of Engineering and Technology,5109,principal,Y
5110,Jei Mathajee College of Engineering,5110,principal,Y
5111,Arunai College of Engineering,5111,principal,Y
5112,Kanchi Pallavan Engineering College,5112,principal,Y
5113,Kingston Engineering College,5113,principal,Y
5114,Oxford College of Engineering,5114,principal,Y
5115,P.T.Lee Chengalvaraya Naicker College of Engineering and Technology,5115,principal,Y
5116,Pallava Raja College of Engineering,5116,principal,Y
5117,Pallavan College of Engineering,5117,principal,Y
5118,Podhigai College of Engineering and Technology,5118,principal,Y
5119,Priyadarshini Engineering College,5119,principal,Y
5120,Sri Ramana Maharishi College of Engineering,5120,principal,Y
5121,Ranippettai Engineering College,5121,principal,Y
5122,S.K.P.Engineering College,5122,principal,Y
5123,S.K.P.Institute of Technology,5123,principal,Y
5124,Saraswathi Velu College of Engineering,5124,principal,Y
5125,Shri Sapthagiri Institute of Technology,5125,principal,Y
5126,Sree Krishna College of Engineering,5126,principal,Y
5127,Sri Balaji Chockalingam Engineering College,5127,principal,Y
5128,Sri Nandhanam College of Engineering and Technology,5128,principal,Y
5130,St.John's College of Engineering and Technology for Women ,5130,principal,Y
5131,Thanthai Periyar Govt Institute of Technology,5131,principal,Y
5132,Thirumalai Engineering College,5132,principal,Y
5133,University College of Engineering - Arni,5133,principal,Y
5134,"University College of Engineering, Kanchipuram",5134,principal,Y
6101,Alpha Institute Of Management,6101,principal,Y
6102,Annapoorana Engineering College,6102,principal,Y
6103,Archana Institute of Technology,6103,principal,Y
6104,College Of Business Management,6104,principal,Y
6105,Dhirajlal Gandhi College of Technology,6105,principal,Y
6106,Dr.Nagarathinam's College of Engineering,6106,principal,Y
6107,Government College of Engineering - Bargur ,6107,principal,Y
6108,Er.Perumal Manimekalai College of Engineering,6108,principal,Y
6109,Jayalakshmi Institute of Technology,6109,principal,Y
6110,Jayam College of Engineering and Technology ,6110,principal,Y
6111,Knowledge Business School,6111,principal,Y
6112,Knowledge Institute of Technology,6112,principal,Y
6113,Mahendra Engineering College,6113,principal,Y
6114,Mahendra Engineering College for Women,6114,principal,Y
6115,Mahendra Institute of Engineering and Technology,6115,principal,Y
6116,Mahendra Institute of Technology,6116,principal,Y
6117,Narasu's Sarathy Institute of Technology,6117,principal,Y
6118,P.S.V.College of Engineering and Technology,6118,principal,Y
6119,RKKR School Of Management Studies,6119,principal,Y
6120,Sapthagiri College of Engineering,6120,principal,Y
